日,ニチ;ジツ,ひ;-び;-か,day;sun;Japan;counterfordays
文,ブン;モン,ふみ;あや,sentence;literature;style;art;decoration;figures;plan;literaryradical(no.67)
問,モン,と.う;と.い;とん,question;ask;problem
代,ダイ;タイ,か.わる;かわ.る;かわ.り;か.わり;-がわ.り;-が.わり;か.える;よ;しろ,substitute;change;convert;replace;period;age;counterfordecadesofages;eras;etc.;generation;charge;rate;fee
作,サク;サ,つく.る;つく.り;-づく.り,make;production;prepare;build
用,ヨウ,もち.いる,utilize;business;service;use;employ
動,ドウ,うご.く;うご.かす,move;motion;change;confusion;shift;shake
言,ゲン;ゴン,い.う;こと,say;word
強,キョウ;ゴウ,つよ.い;つよ.まる;つよ.める;し.いる;こわ.い,strong
野,ヤ;ショ,の;の-,plains;field;rustic;civilianlife
思,シ,おも.う;おもえら.く;おぼ.す,think
家,カ;ケ,いえ;や;うち,house;home;family;professional;expert;performer
主,シュ;ス;シュウ,ぬし;おも;あるじ,lord;chief;master;mainthing;principal
題,ダイ,,topic;subject
町,チョウ,まち,town;village;block;street
意,イ,,idea;mind;heart;taste;thought;desire;care;liking
心,シン,こころ;-ごころ,heart;mind;spirit;heartradical(no.61)
度,ド;ト;タク,たび;-た.い,degrees;occurrence;time;counterforoccurrences;consider;attitude
教,キョウ,おし.える;おそ.わる,teach;faith;doctrine
持,ジ,も.つ;-も.ち;も.てる,hold;have
多,タ,おお.い;まさ.に;まさ.る,many;frequent;much
口,コウ;ク,くち,mouth
元,ゲン;ガン,もと,beginning;formertime;origin
近,キン;コン,ちか.い,near;early;akin;tantamount
考,コウ,かんが.える;かんが.え,consider;thinkover
画,ガ;カク;エ;カイ,えが.く;かく.する;かぎ.る;はかりごと;はか.る,brush-stroke;picture
海,カイ,うみ,sea;ocean
早,ソウ;サッ,はや.い;はや;はや-;はや.まる;はや.める;さ-,early;fast
売,バイ,う.る;う.れる,sell
不,フ;ブ,,negative;non-;bad;ugly;clumsy
世,セイ;セ;ソウ,よ,generation;world;society;public
空,クウ,そら;あ.く;あ.き;あ.ける;から;す.く;す.かす;むな.しい,empty;sky;void;vacant;vacuum
知,チ,し.る;し.らせる,know;wisdom
院,イン,,Inst.;institution;temple;mansion;school
計,ケイ,はか.る;はか.らう,plot;plan;scheme;measure
足,ソク,あし;た.りる;た.る;た.す,leg;foot;besufficient;counterforpairsoffootwear
界,カイ,,world;boundary
字,ジ,あざ;あざな;-な,character;letter;word;sectionofvillage
音,オン;イン;-ノン,おと;ね,sound;noise
朝,チョウ,あさ,morning;dynasty;regime;epoch;period;(North)Korea
以,イ,もっ.て,bymeansof;because;inviewof;comparedwith
台,ダイ;タイ,うてな;われ;つかさ,pedestal;astand;counterformachinesandvehicles
広,コウ,ひろ.い;ひろ.まる;ひろ.める;ひろ.がる;ひろ.げる,wide;broad;spacious
道,ドウ;トウ,みち;いう,road-way;street;district;journey;course;moral;teachings
安,アン,やす.い;やす.まる;やす;やす.らか,relax;cheap;low;quiet;rested;contented;peaceful
重,ジュウ;チョウ,え;おも.い;おも.り;おも.なう;かさ.ねる;かさ.なる;おも,heavy;important;esteem;respect;heapup;pileup;nestofboxes;-fold
赤,セキ;シャク,あか;あか-;あか.い;あか.らむ;あか.らめる,red
青,セイ;ショウ,あお;あお-;あお.い,blue;green
工,コウ;ク;グ,,craft;construction;katakanaeradical(no.48)
止,シ,と.まる;-ど.まり;と.める;-と.める;-ど.め;とど.める;とど.め;とど.まる;や.める;や.む;-や.む;よ.す;-さ.す;-さ.し,stop;halt
集,シュウ,あつ.まる;あつ.める;つど.う,gather;meet;congregate;swarm;flock
物,ブツ;モツ,もの;もの-,thing;object;matter
切,セツ;サイ,き.る;-き.る;き.り;-き.り;-ぎ.り;き.れる;-き.れる;き.れ;-き.れ;-ぎ.れ,cut;cutoff;besharp
